"SampleId","Na","Mg","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","FuelType"
"drax01",-2.800000000e+001,-1.573000000e+001,2.064000000e+001,7.400000000e+000,2.150000000e+000,4.643000000e+001,6.050000000e+000,7.110000000e+000,4.380000000e+000,4.820000000e+000,-3.540000000e+000,-5.150000000e+000,-3.420000000e+000,-7.300000000e-001,-2.610000000e+000,-3.400000000e-001,9.700000000e-001,1.000000000e+000
"drax02",-2.660000000e+000,4.420000000e+000,2.648000000e+001,1.486000000e+001,3.590000000e+000,4.388000000e+001,1.230000000e+000,-3.500000000e+000,-6.250000000e+000,2.020000000e+000,9.999999776e-003,4.300000000e-001,-5.200000000e-001,1.630000000e+000,4.600000000e-001,9.100000000e-001,-1.290000000e+000,1.000000000e+000
"drax03",-1.378000000e+001,-1.022000000e+001,2.305000000e+001,1.982000000e+001,6.420000000e+000,3.768000000e+001,-3.100000000e-001,6.340000000e+000,4.000000000e-001,1.360000000e+000,3.990000000e+000,-1.250000000e+000,8.800000000e-001,-1.320000000e+000,-1.350000000e+000,-1.420000000e+000,-3.800000000e-001,1.000000000e+000
"drax04",-3.970000000e+001,-2.587000000e+001,3.081000000e+001,9.350000000e+000,2.713000000e+001,1.018000000e+001,8.850000000e+000,7.480000000e+000,4.300000000e-001,7.300000000e-001,5.010000000e+000,-5.000000000e-002,-2.000000000e-001,-5.880000000e+000,-2.000000000e+000,-2.710000000e+000,-1.800000000e-001,1.000000000e+000
"drax05",-2.179000000e+001,-5.710000000e+000,5.860000000e+000,1.068000000e+001,7.710000000e+000,5.736000000e+001,-2.180000000e+000,1.850000000e+000,6.800000000e-001,6.900000000e-001,-2.660000000e+000,3.220000000e+000,4.230000000e+000,2.570000000e+000,4.030000000e+000,-7.500000000e-001,1.090000000e+000,1.000000000e+000
"drax06",-1.790000000e+001,-2.040000000e+000,2.079000000e+001,1.472000000e+001,8.570000000e+000,4.397000000e+001,3.380000000e+000,2.760000000e+000,1.670000000e+000,1.740000000e+000,1.130000000e+000,-3.500000000e+000,-2.720000000e+000,-4.480000000e+000,-1.820000000e+000,-1.540000000e+000,1.230000000e+000,1.000000000e+000
"drax07",-1.150000000e+001,-7.300000000e-001,2.120000000e+001,1.485000000e+001,5.070000000e+000,4.509000000e+001,-8.100000000e-001,6.500000000e+000,-2.800000000e+000,4.420000000e+000,2.830000000e+000,-1.830000000e+000,-2.300000000e+000,-2.000000000e+000,-2.700000000e+000,-7.000000000e-002,0.000000000e+000,1.000000000e+000
"drax08",-5.440000000e+000,-2.440000000e+000,1.619000000e+001,6.900000000e+000,7.300000000e+000,5.452000000e+001,3.510000000e+000,3.250000000e+000,-1.080000000e+000,-1.730000000e+000,-4.570000000e+000,5.030000000e+000,2.630000000e+000,-1.660000000e+000,6.200000000e-001,-8.800000000e-001,-3.100000000e-001,1.000000000e+000
"drax09",-1.625000000e+001,5.340000000e+000,3.547000000e+001,7.650000000e+000,1.780000000e+000,4.100000000e+001,-4.510000000e+000,3.940000000e+000,-2.230000000e+000,1.020000000e+000,4.300000000e-001,-6.100000000e-001,-1.620000000e+000,2.100000000e+000,-9.100000000e-001,6.600000000e-001,5.600000000e-001,1.000000000e+000
"drax10",-1.061000000e+001,-1.620000000e+000,3.856000000e+001,1.414000000e+001,-2.670000000e+000,2.581000000e+001,1.227000000e+001,6.820000000e+000,-2.400000000e+000,4.000000000e-001,1.800000000e-001,-2.270000000e+000,5.800000000e-001,1.190000000e+000,-1.890000000e+000,-2.610000000e+000,-6.100000000e-001,1.000000000e+000
"drax11",-1.285000000e+001,-5.650000000e+000,1.043000000e+001,7.510000000e+000,5.610000000e+000,6.015000000e+001,-1.710000000e+000,7.550000000e+000,1.020000000e+000,2.000000000e+000,-7.000000000e-002,1.590000000e+000,-1.800000000e+000,2.500000000e+000,1.340000000e+000,-1.880000000e+000,2.500000000e-001,1.000000000e+000
"drax12",-8.880000000e+000,3.890000000e+000,9.640000000e+000,1.535000000e+001,1.082000000e+001,4.299000000e+001,6.460000000e+000,6.880000000e+000,-2.000000000e-002,3.390000000e+000,5.400000000e-001,-2.830000000e+000,-1.360000000e+000,-1.200000000e-001,-2.140000000e+000,-7.900000000e-001,-1.360000000e+000,1.000000000e+000
"drax13",-3.797000000e+001,-2.202000000e+001,1.081000000e+001,1.142000000e+001,3.860000000e+000,5.631000000e+001,-6.800000000e+000,8.140000000e+000,-1.650000000e+000,-5.000000000e-001,2.000000000e-002,2.730000000e+000,-6.420000000e+000,-1.460000000e+000,-5.960000000e+000,4.730000000e+000,1.950000000e+000,1.000000000e+000
"drax14",-1.751000000e+001,-1.446000000e+001,1.415000000e+001,1.089000000e+001,1.564000000e+001,5.302000000e+001,-8.940000000e+000,-5.000000000e-002,-2.290000000e+000,-3.020000000e+000,3.220000000e+000,-7.400000000e-001,-4.070000000e+000,-2.260000000e+000,-4.550000000e+000,3.050000000e+000,-2.500000000e-001,1.000000000e+000
"drax15",-9.900000000e+000,-4.880000000e+000,1.813000000e+001,9.840000000e+000,9.310000000e+000,4.095000000e+001,-1.540000000e+000,7.090000000e+000,3.640000000e+000,-6.300000000e+000,-3.950000000e+000,7.170000000e+000,-1.210000000e+000,7.700000000e-001,1.550000000e+000,1.480000000e+000,-1.550000000e+000,1.000000000e+000
"drax16",-2.330000000e+000,-2.250000000e+000,1.577000000e+001,2.320000000e+001,-5.070000000e+000,2.972000000e+001,2.097000000e+001,9.250000000e+000,-6.800000000e-001,-9.400000000e-001,3.800000000e-001,6.800000000e-001,-2.830000000e+000,-1.870000000e+000,-3.400000000e-001,-9.300000000e-001,-1.700000000e+000,1.000000000e+000
"drax17",-1.593000000e+001,-2.500000000e+000,3.577000000e+001,2.223000000e+001,-1.612000000e+001,2.804000000e+001,-8.180000000e+000,1.870000000e+000,-3.080000000e+000,-1.000000000e-002,-7.940000000e+000,7.440000000e+000,1.100000000e-001,1.080000000e+000,3.410000000e+000,-1.500000000e-001,-3.260000000e+000,1.000000000e+000
"drax18",-7.610000000e+000,-6.170000000e+000,6.320000000e+000,5.650000000e+000,1.170000000e+000,3.570000000e+001,1.326000000e+001,1.742000000e+001,3.940000000e+000,1.402000000e+001,2.400000000e+000,-1.360000000e+000,-1.220000000e+000,-8.200000000e-001,9.000000000e-002,-1.000000000e-001,-3.700000000e-001,1.000000000e+000
"drax19",-2.098000000e+001,-1.593000000e+001,2.481000000e+001,3.038000000e+001,-6.210000000e+000,4.299000000e+001,-1.152000000e+001,-6.610000000e+000,-1.047000000e+001,-1.500000000e+000,-2.750000000e+000,-4.300000000e-001,-4.300000000e-001,0.000000000e+000,-2.250000000e+000,1.670000000e+000,1.100000000e-001,1.000000000e+000
"drax20",-1.657000000e+001,-1.043000000e+001,2.062000000e+001,1.402000000e+001,4.420000000e+000,5.258000000e+001,-5.880000000e+000,-2.720000000e+000,3.200000000e+000,-1.030000000e+000,-1.000000000e-001,8.100000000e-001,1.540000000e+000,-1.010000000e+000,9.800000000e-001,1.750000000e+000,5.000000000e-002,1.000000000e+000
"drax21",-2.459000000e+001,-2.000000000e+000,2.490000000e+001,4.110000000e+000,3.940000000e+000,1.560000000e+001,3.061000000e+001,6.510000000e+000,-6.900000000e-001,1.380000000e+000,3.510000000e+000,6.200000000e-001,4.610000000e+000,7.000000000e-002,8.800000000e-001,3.700000000e-001,2.810000000e+000,1.000000000e+000
"drax22",-1.559000000e+001,-8.630000000e+000,1.493000000e+001,7.840000000e+000,9.670000000e+000,5.104000000e+001,-4.940000000e+000,-2.980000000e+000,-1.000000000e-001,9.400000000e-001,9.500000000e-001,5.190000000e+000,3.230000000e+000,3.680000000e+000,1.590000000e+000,-9.000000000e-002,8.900000000e-001,1.000000000e+000
"drax23",-3.388000000e+001,-1.682000000e+001,1.692000000e+001,1.628000000e+001,1.745000000e+001,3.861000000e+001,-4.670000000e+000,-8.180000000e+000,-2.820000000e+000,-2.470000000e+000,9.300000000e-001,-2.410000000e+000,-2.000000000e-001,-1.550000000e+000,2.020000000e+000,4.000000000e+000,3.760000000e+000,1.000000000e+000
"drax24",-1.382000000e+001,-1.470000000e+000,2.317000000e+001,9.390000000e+000,1.143000000e+001,4.443000000e+001,4.380000000e+000,1.790000000e+000,2.630000000e+000,-4.300000000e+000,-9.800000000e-001,1.730000000e+000,-1.410000000e+000,-7.500000000e-001,-5.000000000e-001,-1.120000000e+000,1.020000000e+000,1.000000000e+000
"drax25",-1.619000000e+001,1.740000000e+000,2.671000000e+001,2.032000000e+001,-1.721000000e+001,1.912000000e+001,-1.820000000e+000,-1.556000000e+001,-1.525000000e+001,-5.710000000e+000,1.540000000e+000,2.320000000e+000,7.730000000e+000,6.320000000e+000,5.760000000e+000,5.010000000e+000,3.380000000e+000,1.000000000e+000
"drax26",-4.210000000e+000,-3.720000000e+000,1.862000000e+001,2.564000000e+001,5.980000000e+000,4.147000000e+001,-3.030000000e+000,1.250000000e+000,4.000000000e+000,2.300000000e-001,1.750000000e+000,-2.080000000e+000,-2.540000000e+000,1.020000000e+000,-1.080000000e+000,-2.330000000e+000,-1.620000000e+000,1.000000000e+000
"drax27",-2.112000000e+001,-2.090000000e+000,1.551000000e+001,1.022000000e+001,7.130000000e+000,5.695000000e+001,-5.590000000e+000,2.300000000e+000,2.740000000e+000,-9.000000000e-002,2.690000000e+000,-1.340000000e+000,-6.900000000e-001,-7.000000000e-001,-1.610000000e+000,4.100000000e-001,2.000000000e+000,1.000000000e+000
"drax28",-1.922000000e+001,-3.550000000e+000,1.531000000e+001,1.103000000e+001,5.070000000e+000,5.372000000e+001,-6.360000000e+000,-8.900000000e-001,-1.830000000e+000,1.164000000e+001,-7.600000000e-001,-2.850000000e+000,-1.510000000e+000,-2.630000000e+000,2.020000000e+000,8.100000000e-001,3.400000000e-001,1.000000000e+000
"drax29",-1.394000000e+001,-5.510000000e+000,2.222000000e+001,1.298000000e+001,5.010000000e+000,4.795000000e+001,4.190000000e+000,2.580000000e+000,1.970000000e+000,-7.200000000e-001,-4.440000000e+000,-1.110000000e+000,-2.800000000e-001,4.300000000e-001,8.000000000e-001,1.400000000e-001,1.650000000e+000,1.000000000e+000
