habitat_type;sampling_regime;plot_id_year;exploratory;plot_id;collection_year;biomass;abundance_unidentified_identified;abundance_identified;species;abundance_carnivore;species_carnivore;biomass_carnivore;abundance_herbivore;species_herbivore;biomass_herbivore;abundance_detritomycetophage;species_detritomycetophage;biomass_detritomycetophage;abundance_omnivore;species_omnivore;biomass_omnivore;abundance_weak_disperser;species_weak_disperser;biomass_weak_disperser;abundance_strong_disperser;species_strong_disperser;biomass_strong_disperser;landuse_intensity;mean_winter_temperature;precipitation_sum_growing_preriod;grassland_cover_250;grassland_cover_500;grassland_cover_1000;grassland_cover_1500;arable_cover_1000;arable_cover_1500;arable_cover_250;arable_cover_500
grassland;annual;AEG01_2008;ALB;AEG1;2008;169395207628439;499;472;47;16;10;424.242097002714;451;34;16345534121757;2;1;5.10561464354634;3;2;164.638929440635;85;3;16939.5207628439;9;2;778599574125612;206;123441157024793;6594;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2009;ALB;AEG1;2009;968450502913711;561;205;30;3;3;117.929419794604;200;25;945679897396784;0;0;0;2;2;109.776635374668;65;6;9684.50502913711;4;3;528625116322687;206;-85554841666667;66443;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2010;ALB;AEG1;2010;434272084002645;1447;160;27;21;5;1049.10250551363;137;20;325383623677224;1;1;16.8613595942696;1;1;22.920738146307;18;4;4342.72084002645;15;3;137890707347172;206;-88724;68109;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2011;ALB;AEG1;2011;415945012351404;800;103;29;14;5;889.231469831947;89;24;327021865368209;0;0;0;0;0;0;13;5;4159.45012351404;5;2;585089222714374;206;-87160108333333;5633;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2012;ALB;AEG1;2012;396487367224072;352;107;23;9;5;178.350014062142;98;18;378652365817858;0;0;0;0;0;0;16;2;3964.87367224072;2;1;10955346103003;206;-336074049586777;58357;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2013;ALB;AEG1;2013;179674812420749;902;106;28;7;5;384.111897817682;99;23;141263622638981;0;0;0;0;0;0;19;2;1796.74812420749;18;1;230892189491806;206;-3986075;80153;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2014;ALB;AEG1;2014;192584421667775;436;24;9;1;1;1.00270897364849;22;7;189827062611757;0;0;0;1;1;1.75465008237019;2;2;192.584421667775;0;0;643554338291704;206;144109425;80185;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2015;ALB;AEG1;2015;145397813199028;409;66;18;3;3;30.0016865892121;63;15;142397644540107;0;0;0;0;0;0;5;3;1453.97813199028;4;2;693110200487845;206;704024;63745;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2016;ALB;AEG1;2016;276487369912446;399;47;26;6;5;110.882026024913;39;19;259354947590852;1;1;0.606500861914825;1;1;59.8356963291091;11;5;2764.87369912446;4;2;100794739485918;206;225704198347107;78071;7969;5493;4438;3313;725;1457;1169;397
grassland;annual;AEG01_2017;ALB;AEG1;2017;171354123184749;256;89;21;4;3;53.813689975882;85;18;165972754187161;0;0;0;0;0;0;7;4;1713.54123184749;5;2;761548807007759;206;-67460441666667;6815;7969;5493;4438;3313;725;1457;1169;397
